#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#Team ID,#Team Abbr.,#Team City,#Team Name
10138,Abrines,Alex,8,F,"6'6""",190,1/8/93,24,Palma de Mallorca,Spain,N,96,OKL,Oklahoma City,Thunder
9466,Acy,Quincy,4,PF,"6'7""",240,6/10/90,27,"Tyler, TX",USA,N,108,DAL,Dallas,Mavericks
9390,Adams,Steven,12,C,"7'0""",255,20/7/93,24,Rotorua,NewZealand,N,96,OKL,Oklahoma City,Thunder
9375,Afflalo,Arron,40,SG,"6'5""",215,15/10/85,32,"Los Angeles, CA",USA,N,103,SAC,Sacramento,Kings
9357,Ajinca,Alexis,42,C,"7'2""",248,6/5/88,29,Saint-Étienne,France,N,110,NOP,New Orleans,Pelicans
9272,Aldrich,Cole,45,C,"6'11""",245,31/10/88,28,"Burnsville, MN",USA,N,100,MIN,Minnesota,Timberwolves
9480,Aldridge,LaMarcus,12,PF,"6'11""",240,19/7/85,32,"Dallas, TX",USA,N,106,SAS,San Antonio,Spurs
9454,Alexander,Cliff,34,PF,"6'8""",245,15/11/95,21,"Chicago, IL",USA,N,95,ORL,Orlando,Magic
9254,Allen,Lavoy,5,PF,"6'9""",255,4/2/89,28,,,N,87,IND,Indiana,Pacers
9299,Allen,Tony,9,SG,"6'4""",213,11/1/82,35,"Chicago, IL",USA,N,107,MEM,Memphis,Grizzlies
9452,Aminu,Al-Farouq,8,SF,"6'9""",215,21/9/90,27,"Atlanta, GA",USA,N,97,POR,Portland,Trail Blazers
9297,Andersen,Chris,7,C,"6'10""",245,6/7/78,39,"Lola, TX",USA,N,86,CLE,Cleveland,Cavaliers
9178,Anderson,Justin,1,SF,"6'6""",228,18/11/93,23,"Montross, VA",USA,N,108,DAL,Dallas,Mavericks
9475,Anderson,Kyle,1,SF,"6'9""",230,20/9/93,24,"New York, NY",USA,N,106,SAS,San Antonio,Spurs
9469,Anderson,James,5,SG,"6'6""",213,25/3/89,28,"El Dorado, AR",USA,N,103,SAC,Sacramento,Kings
9527,Anderson,Alan,26,SG,"6'6""",220,16/10/82,35,"Minneapolis, MN",USA,N,102,LAC,Los Angeles,Clippers
9353,Anderson,Ryan,36,PF,"6'10""",240,6/5/88,29,"Sacramento, CA",USA,N,109,HOU,Houston,Rockets
9325,Antetokounmpo,Giannis,34,PG,"6'11""",222,6/12/94,22,Athens,Greece,N,90,MIL,Milwaukee,Bucks
